2016-06-08 12:21:05,185 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:21:05,186 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 12:22:21,645 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:22:21,646 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-08 12:22:21,647 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:22:21,648 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 12:22:43,363 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:22:43,364 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-08 12:22:43,365 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:22:43,365 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 12:23:27,761 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
